No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
980,酒呑童子山,しゅてんどうじやま,,,,1181,33.09694444,130.9083333,大分県,阿蘇・くじゅうとその周辺,
981,国見山,くにみやま,,,,1018,33.10555556,130.8175,熊本県,阿蘇・くじゅうとその周辺,
982,筒ヶ岳,つつがたけ,,,,501,32.98472222,130.5275,熊本県,阿蘇・くじゅうとその周辺,
983,金峰山,きんぼうざん,,,,665,32.81416667,130.6388889,熊本県,阿蘇・くじゅうとその周辺,
984,黒髪山,くろかみざん,,,,516,33.21388889,129.9022222,佐賀県,佐賀西部・長崎・島原,
985,国見山,くにみやま,,,,776,33.23694444,129.8127778,長崎県,佐賀西部・長崎・島原,
986,虚空蔵山,こくぞうざん,,,,609,33.09055556,129.9213889,長崎県,佐賀西部・長崎・島原,
987,経ヶ岳,きょうがだけ,,,,1076,32.9875,130.0763889,佐賀県 長崎県,佐賀西部・長崎・島原,☓
988,多良岳,たらだけ,,,,996,32.97555556,130.0927778,佐賀県,佐賀西部・長崎・島原,
989,五家原岳,ごかはらだけ,,,,1057,32.95805556,130.0766667,長崎県,佐賀西部・長崎・島原,☓
990,普賢岳,ふげんだけ,,,,1359,32.76,130.2922222,長崎県,佐賀西部・長崎・島原,☓
991,雲仙岳,うんぜんだけ,平成新山,へいせいしんざん,,1483,32.76138889,130.2988889,長崎県,佐賀西部・長崎・島原,日本二百名山
992,長浦岳,ながうらだけ,,,,561,32.91361111,129.7447222,長崎県,佐賀西部・長崎・島原,
993,八郎岳,はちろうだけ,,,,590,32.67027778,129.8563889,長崎県,佐賀西部・長崎・島原,
994,御岳,みたけ,,,,479,34.57194444,129.3816667,長崎県,対馬,
995,白嶽,しらたけ,,,,518,34.26416667,129.2497222,長崎県,対馬,
996,有明山,ありあけやま,,,,558,34.20444444,129.265,長崎県,対馬,
997,矢立山,やたてやま,,,,648,34.1775,129.2261111,長崎県,対馬,
998,三王山,さんのうざん,雄嶽,おだけ,,439,32.93333333,129.0530556,長崎県,五島列島,
999,父ヶ岳,ててがたけ,,,,460,32.69833333,128.6811111,長崎県,五島列島,
1000,佩楯山,はいだてさん,,,,754,32.95305556,131.6458333,大分県,九州山地,
1001,傾山,かたむきやま,,,,1605,32.83888889,131.4758333,大分県,九州山地,
1002,大崩山,おおくえやま,,,,1644,32.73777778,131.5130556,宮崎県,九州山地,日本二百名山
1003,行縢山,むかばきやま,,,,830,32.62583333,131.5722222,宮崎県,九州山地,
1004,祖母山,そぼさん,,,,1756,32.82805556,131.3469444,大分県 宮崎県,九州山地,日本百名山
1005,古祖母山,ふるそぼさん,,,,1633,32.80277778,131.3644444,大分県 宮崎県,九州山地,☓
1006,諸塚山,もろつかやま,,,,1342,32.63472222,131.2875,宮崎県,九州山地,
1007,向坂山,むこうざかやま,,,,1685,32.57972222,131.105,熊本県 宮崎県,九州山地,
1008,国見岳,くにみだけ,,,,1739,32.54722222,131.0183333,熊本県 宮崎県,九州山地,
